"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2022","338.36","336.04","341.15","331.90","2.36M","0.72%"
"10/06/2022","335.95","331.70","339.80","331.70","2.08M","1.96%"
"10/05/2022","329.49","337.68","343.95","326.01","2.64M","-1.38%"
"10/04/2022","334.11","334.60","338.74","326.69","2.44M","0.84%"
"10/03/2022","331.32","316.37","331.32","316.28","2.03M","5.08%"
"09/30/2022","315.31","311.65","320.13","310.59","1.30M","1.21%"
"09/29/2022","311.55","318.20","319.55","302.29","1.69M","-1.55%"
"09/28/2022","316.47","323.99","326.30","314.15","1.66M","-2.47%"
"09/27/2022","324.47","323.89","329.10","323.41","1.02M","0.18%"
"09/26/2022","323.89","329.77","331.03","321.96","1.17M","-2.01%"
"09/23/2022","330.55","336.14","336.72","328.71","1.02M","-1.52%"
"09/22/2022","335.66","327.94","342.31","327.94","1.66M","2.47%"
"09/21/2022","327.56","334.60","337.01","326.98","1.24M","-1.42%"
"09/20/2022","332.28","324.95","336.52","322.16","1.75M","2.22%"
"09/19/2022","325.05","342.89","342.89","325.05","1.24M","-4.72%"
"09/16/2022","341.15","342.02","348.29","340.86","1.64M","0.00%"
"09/15/2022","341.15","344.24","349.16","339.42","1.83M","-0.59%"
"09/14/2022","343.18","330.45","343.18","323.03","2.63M","3.67%"
"09/13/2022","331.03","347.61","353.40","331.03","4.51M","-3.41%"
"09/12/2022","342.70","342.31","347.52","339.22","3.29M","1.26%"
"09/09/2022","338.45","341.35","348.58","336.14","3.19M","0.00%"
"09/08/2022","338.45","327.85","350.41","327.85","5.13M","3.84%"
"09/07/2022","325.92","324.95","327.46","319.75","2.35M","0.42%"
"09/06/2022","324.57","325.92","333.54","321.10","4.03M","0.18%"
"09/05/2022","323.99","323.70","328.33","321.87","2.98M","0.45%"
"09/02/2022","322.54","316.28","324.86","316.28","2.15M","2.04%"
"09/01/2022","316.08","320.13","323.70","313.38","1.90M","-1.24%"
"08/31/2022","320.04","326.88","332.47","320.04","2.09M","-2.01%"
"08/29/2022","326.59","326.69","331.12","322.25","1.74M","-0.06%"
"08/26/2022","326.79","323.80","329.49","321.29","2.31M","1.14%"
"08/25/2022","323.12","320.52","325.92","318.88","2.15M","1.39%"
"08/24/2022","318.69","328.81","328.81","318.69","1.78M","-2.48%"
"08/23/2022","326.79","320.42","331.70","319.84","2.51M","1.99%"
"08/22/2022","320.42","322.74","324.66","314.73","2.00M","-0.75%"
"08/19/2022","322.83","331.51","332.67","322.74","2.00M","-2.62%"
"08/18/2022","331.51","325.82","334.60","317.91","3.33M","1.81%"
"08/17/2022","325.63","328.81","329.77","321.19","1.69M","-0.24%"
"08/16/2022","326.40","320.33","326.69","309.53","2.50M","2.27%"
"08/15/2022","319.17","328.81","331.32","318.30","1.66M","-2.13%"
"08/12/2022","326.11","317.91","327.75","313.09","2.60M","2.58%"
"08/11/2022","317.91","320.33","323.70","314.15","1.73M","0.12%"
"08/10/2022","317.53","312.42","318.88","308.27","2.52M","2.65%"
"08/09/2022","309.33","313.48","316.56","307.11","2.11M","-0.99%"
"08/08/2022","312.42","303.74","313.38","302.10","2.67M","3.09%"
"08/05/2022","303.07","301.72","304.90","296.99","2.18M","0.71%"
"08/04/2022","300.94","299.69","304.61","299.11","2.48M","1.36%"
"08/03/2022","296.89","299.50","301.04","294.10","1.98M","-0.55%"
"08/02/2022","298.53","292.55","302.29","291.11","3.25M","2.14%"
"08/01/2022","292.27","293.62","296.80","290.92","2.38M","0.10%"
"07/29/2022","291.98","277.80","294.10","277.13","4.77M","6.25%"
"07/28/2022","274.81","274.52","278.38","273.08","2.11M","1.32%"
"07/27/2022","271.24","276.45","281.08","270.76","2.46M","-1.65%"
"07/26/2022","275.78","268.74","276.45","265.27","2.87M","3.81%"
"07/25/2022","265.65","257.65","269.41","256.20","2.40M","3.57%"
"07/22/2022","256.49","257.84","261.60","255.53","1.62M","0.07%"
"07/21/2022","256.30","253.12","261.31","252.92","2.79M","1.57%"
"07/20/2022","252.35","252.83","253.60","250.13","2.13M","0.12%"
"07/19/2022","252.06","251.96","254.47","250.22","1.88M","0.04%"
"07/18/2022","251.96","251.48","253.60","250.32","1.59M","1.28%"
"07/14/2022","248.78","252.35","253.79","246.66","1.41M","-1.71%"
"07/13/2022","253.12","264.11","266.13","251.00","2.18M","-4.20%"
"07/08/2022","264.21","260.25","265.46","259.00","553.08K","1.44%"
"07/07/2022","260.45","255.05","261.31","253.02","1.55M","2.20%"
"07/06/2022","254.85","248.78","254.95","247.14","1.59M","3.16%"
"07/05/2022","247.04","258.03","258.90","246.17","1.97M","-3.54%"
"07/04/2022","256.11","264.69","267.97","256.11","1.56M","-2.17%"
"07/01/2022","261.80","262.76","266.91","259.00","1.70M","1.69%"
"06/30/2022","257.46","261.80","263.05","253.89","2.32M","-1.51%"
"06/29/2022","261.41","277.61","277.61","261.41","2.12M","-5.87%"
"06/28/2022","277.71","289.28","292.17","275.97","2.29M","-3.68%"
"06/27/2022","288.31","282.53","291.01","278.86","1.47M","0.00%"
"06/24/2022","288.31","292.55","295.06","287.06","1.24M","-0.99%"
"06/23/2022","291.20","298.92","301.52","291.20","1.65M","-2.46%"
"06/22/2022","298.53","291.20","307.02","289.08","3.96M","2.28%"
"06/21/2022","291.88","284.65","292.55","283.78","1.38M","3.28%"
"06/20/2022","282.62","283.78","285.71","279.44","1.09M","0.51%"
"06/17/2022","281.18","276.74","281.18","274.72","1.13M","2.07%"
"06/16/2022","275.49","284.46","286.09","274.14","1.36M","-2.82%"
"06/15/2022","283.49","279.15","283.88","277.99","1.02M","1.87%"
"06/14/2022","278.28","279.54","281.56","274.81","1.25M","0.56%"
"06/13/2022","276.74","286.87","287.64","276.74","1.61M","-3.53%"
"06/10/2022","286.87","283.49","293.42","281.76","1.74M","0.10%"
"06/09/2022","286.58","286.87","293.71","282.04","2.08M","0.27%"
"06/08/2022","285.80","300.85","307.40","285.80","2.95M","-4.45%"
"06/07/2022","299.11","305.67","305.96","296.22","2.44M","-1.99%"
"06/06/2022","305.19","301.33","307.21","300.46","2.31M","1.70%"
"06/03/2022","300.08","302.68","305.19","299.40","1.96M","-0.54%"
"06/02/2022","301.72","296.22","304.22","294.77","2.69M","2.26%"
"06/01/2022","295.06","298.92","301.91","294.68","2.35M","-1.16%"
"05/31/2022","298.53","291.59","302.78","290.63","4.10M","2.86%"
"05/30/2022","290.24","276.55","294.10","275.39","4.60M","5.58%"
"05/27/2022","274.91","273.46","280.02","270.96","2.18M","0.74%"
"05/26/2022","272.88","273.56","275.97","272.79","1.31M","-0.11%"
"05/25/2022","273.17","272.02","274.81","270.38","1.30M","0.74%"
"05/24/2022","271.15","274.62","278.28","270.28","1.87M","-0.95%"
"05/23/2022","273.75","265.17","273.75","263.53","1.67M","3.80%"
"05/20/2022","263.72","268.74","268.74","263.72","957.96K","-1.87%"
"05/18/2022","268.74","269.03","272.88","267.58","1.35M","-0.11%"
"05/17/2022","269.03","270.38","272.21","268.06","1.59M","-0.29%"
"05/16/2022","269.80","271.92","274.72","266.91","2.20M","-0.78%"
"05/13/2022","271.92","277.22","278.19","271.34","1.35M","-0.98%"
"05/12/2022","274.62","280.60","280.60","269.12","1.77M","-3.00%"
